GeneID	2_NPC_DMSO	2a_NPC_EPZ	4_NPC_DMSO	4a_NPC_EPZ	5_NPC_DMSO	5a_NPC_EPZ
ENSMUSG00000000617.14	4	2	11	3	2	1
ENSMUSG00000000627.15	1644	2118	1213	1964	1269	1510
ENSMUSG00000000628.10	2490	2935	4496	3109	1453	1987
ENSMUSG00000000631.20	15506	17370	13887	17850	13731	15515
ENSMUSG00000000632.13	16594	21591	11073	18487	11642	14157
ENSMUSG00000000673.8	3	9	4	17	3	2
ENSMUSG00000000682.7	1	3	4	4	0	0
ENSMUSG00000000686.11	91	111	117	167	85	119
ENSMUSG00000000690.5	13614	17791	11118	18034	20086	23866
ENSMUSG00000000693.10	641	695	641	866	265	400
ENSMUSG00000000701.8	0	0	0	0	0	0
ENSMUSG00000000706.16	21	24	71	66	4	4
ENSMUSG00000000708.14	2628	2721	2496	2857	1951	2207
ENSMUSG00000000711.3	8846	10305	7648	9490	7406	8362
ENSMUSG00000000724.10	9	4	12	7	9	16
ENSMUSG00000000730.13	3491	3895	1696	1235	568	629
ENSMUSG00000000731.15	242	275	214	76	55	80
ENSMUSG00000000732.9	583	664	479	557	131	150
ENSMUSG00000000738.18	5581	7148	7479	10030	4776	5452
ENSMUSG00000000739.14	23	37	9	25	6	9
ENSMUSG00000000740.12	28670	44457	35120	50502	21743	23398
ENSMUSG00000000743.9	9969	12397	9730	12976	7570	8587
ENSMUSG00000000751.13	7818	9269	7279	8215	4103	4462
ENSMUSG00000000753.15	1539	1631	1066	1544	347	448
ENSMUSG00000000759.14	6351	7280	7571	9673	4661	5166
ENSMUSG00000000766.18	39	63	23	44	14	33
ENSMUSG00000000776.13	2447	2987	2582	3145	1824	1992
ENSMUSG00000000782.15	886	889	949	767	288	388
ENSMUSG00000000787.12	65576	68841	58688	62024	47785	54037
ENSMUSG00000000791.9	9	11	16	22	2	10
ENSMUSG00000000792.2	101	168	358	576	173	226
ENSMUSG00000000794.9	1073	1197	886	1098	174	277
ENSMUSG00000000804.14	12595	12821	10279	13210	9152	10909
ENSMUSG00000000805.18	683	831	3946	3506	408	477
ENSMUSG00000000811.13	1116	1345	1057	1368	1106	1285
ENSMUSG00000000817.10	46	34	40	85	37	43
ENSMUSG00000000823.16	17242	21902	14873	21628	12955	13813
ENSMUSG00000000826.16	28892	33225	21683	29262	24091	27731
ENSMUSG00000000827.18	5630	6430	5633	6503	4273	4993
ENSMUSG00000000838.17	10404	10879	9756	11827	7436	8244
ENSMUSG00000000861.15	31888	31779	17080	24288	16618	19190
ENSMUSG00000000869.12	2	0	0	1	0	1
ENSMUSG00000000876.11	938	1176	973	1232	635	945
ENSMUSG00000000881.12	7911	8669	7408	9479	7938	8151
ENSMUSG00000000884.17	555	684	441	691	418	477
ENSMUSG00000000889.8	1	0	2	3	4	0
ENSMUSG00000000901.17	2126	2789	2031	2538	1049	1634
ENSMUSG00000000902.13	12424	15616	11639	16468	11247	13260
ENSMUSG00000000903.3	5	10	2	6	0	1
ENSMUSG00000000915.15	3697	4761	3461	5197	2591	3195
ENSMUSG00000000916.15	1734	2230	1771	2096	1290	1417
ENSMUSG00000000934.9	633	790	721	1111	452	581
ENSMUSG00000000938.11	28	38	41	42	2	6
ENSMUSG00000000942.10	2186	2476	1201	1551	3253	3185
ENSMUSG00000000948.16	2975	2703	2158	2518	1653	1747
ENSMUSG00000000957.11	3283	3315	3772	4168	884	1152
ENSMUSG00000000958.10	833	854	1086	974	160	163
ENSMUSG00000000959.7	4802	6106	4739	6250	3758	4677
ENSMUSG00000000976.13	4774	5637	4588	6322	4104	4537
ENSMUSG00000000982.5	0	0	0	0	0	0
ENSMUSG00000000983.13	0	0	0	0	0	0
ENSMUSG00000001014.6	6	9	23	31	6	3
ENSMUSG00000001016.12	23584	27556	22720	30120	22164	24239
ENSMUSG00000001017.15	22955	26617	19817	25310	19439	22414
ENSMUSG00000001018.15	3372	4323	3577	4583	2718	3442
ENSMUSG00000001020.8	1	2	2	4	0	0
ENSMUSG00000001021.12	0	1	2	3	0	1
ENSMUSG00000001023.10	0	0	7	8	0	0
ENSMUSG00000001025.8	451	532	2276	2782	379	458
ENSMUSG00000001027.7	9	10	13	14	6	6
ENSMUSG00000001029.15	9	16	9	13	12	4
ENSMUSG00000001034.17	6416	7840	6088	7885	4974	5830
ENSMUSG00000001036.17	6638	7658	5231	7062	4363	5299
ENSMUSG00000001039.12	1171	1272	982	1262	817	924
ENSMUSG00000001052.15	7956	9199	7840	10891	7108	8070
ENSMUSG00000001053.15	417	593	445	566	178	286
ENSMUSG00000001054.9	3153	4304	2491	3913	2401	2872
ENSMUSG00000001056.3	3456	4522	3407	3652	1868	2069
ENSMUSG00000001062.18	5239	7002	5279	8598	4488	4650
ENSMUSG00000001065.15	3046	3919	3712	5414	2507	2711
ENSMUSG00000001076.7	39	85	158	151	154	183
ENSMUSG00000001082.12	2169	2873	2243	3052	1003	1335
ENSMUSG00000001089.14	5458	5406	6030	6875	4419	4861
ENSMUSG00000001095.5	6	8	2	7	5	1
ENSMUSG00000001098.15	8458	9596	8767	11772	7546	8604
ENSMUSG00000001100.10	8655	11014	7472	10306	7410	8519
ENSMUSG00000001103.7	0	0	1	0	0	0
ENSMUSG00000001105.15	2997	3622	2640	3586	2172	2454
ENSMUSG00000001119.7	12756	11957	5118	6062	2181	2011
ENSMUSG00000001120.15	2303	2963	2400	3081	2537	2967
ENSMUSG00000001123.15	678	1140	5503	7927	755	845
ENSMUSG00000001127.12	12611	15242	11153	17034	10705	11432
ENSMUSG00000001128.7	1130	1481	1367	2277	1177	1149
ENSMUSG00000001131.11	313	339	327	417	90	99
ENSMUSG00000001134.9	814	896	839	984	631	730
ENSMUSG00000001138.13	3605	4224	3352	4257	2660	2955
ENSMUSG00000001143.13	5477	6210	4967	7219	4071	4620
ENSMUSG00000001150.7	9624	10315	8253	10245	7457	8001
ENSMUSG00000001151.10	4115	4375	4463	5128	3047	3650
ENSMUSG00000001155.13	4	4	2	3	0	1
ENSMUSG00000001156.9	4012	4509	3493	4887	4745	5202
ENSMUSG00000001157.13	4096	4807	4002	5487	4100	4520
ENSMUSG00000001158.13	2962	3458	2897	3819	2578	2956
ENSMUSG00000001166.17	111	149	238	310	87	121
ENSMUSG00000001168.16	0	0	1	0	0	0
ENSMUSG00000001173.15	6317	6973	4875	6136	4421	5256
ENSMUSG00000001175.14	53845	66179	47220	69970	47347	57626
ENSMUSG00000001211.15	7314	8423	6532	7939	5338	6489
ENSMUSG00000001225.12	3	4	2	1	1	2
ENSMUSG00000001227.11	3783	5217	2903	4565	3371	3716
ENSMUSG00000001228.14	7659	8511	10153	9133	4705	5210
ENSMUSG00000001229.8	4494	5740	5059	7114	4676	5107
ENSMUSG00000001240.13	276	378	731	658	100	136
ENSMUSG00000001247.16	688	944	2616	2868	351	421
ENSMUSG00000001248.15	21764	27044	25335	36788	22689	22712
ENSMUSG00000001249.14	56	94	111	159	26	49
ENSMUSG00000001260.10	351	486	109	132	108	178
ENSMUSG00000001270.9	56061	72307	49803	59957	59782	69896
ENSMUSG00000001280.13	8613	8667	8504	8815	6055	6778
ENSMUSG00000001281.10	96	160	61	82	12	20
ENSMUSG00000001285.12	2886	3420	2910	3885	2510	2763
ENSMUSG00000001288.15	1583	1791	1141	1239	535	640
ENSMUSG00000001289.12	10182	11932	7902	11434	8341	9476
ENSMUSG00000001300.16	13516	13419	14687	16228	10089	10983
ENSMUSG00000001305.5	1987	2410	1977	2144	1012	1157
ENSMUSG00000001313.12	6116	7575	7553	8673	9165	10978
ENSMUSG00000001323.17	4409	5019	3394	4711	3346	3880
ENSMUSG00000001333.9	39	56	46	67	28	41
ENSMUSG00000001334.9	660	915	404	665	842	1203
ENSMUSG00000001348.15	146	177	560	606	103	101
ENSMUSG00000001349.5	36	55	103	267	39	34
ENSMUSG00000001366.14	3145	4081	2266	3282	2342	2646
ENSMUSG00000001376.17	5469	6062	4959	6886	4554	5094
ENSMUSG00000001380.6	6340	7566	6191	7727	5139	5880
ENSMUSG00000001383.8	9300	10346	8455	10908	7942	8916
ENSMUSG00000001403.13	3443	3826	5607	5347	3304	3701
ENSMUSG00000001415.10	12517	15111	13261	16642	10756	11980
ENSMUSG00000001416.13	32852	37982	30988	40145	26137	29616
ENSMUSG00000001418.13	3254	3963	6267	7452	2380	2700
ENSMUSG00000001419.17	5827	7428	6133	8402	4532	5062
ENSMUSG00000001420.13	112	179	210	239	105	170
ENSMUSG00000001424.14	11380	13973	12780	15920	8016	9700
ENSMUSG00000001435.15	5078	5082	9793	12371	3441	3655
ENSMUSG00000001436.15	1130	1371	1078	1423	810	887
ENSMUSG00000001440.5	43610	46724	41280	45463	31537	36383
ENSMUSG00000001441.13	24930	29771	22722	32565	20405	23588
ENSMUSG00000001444.2	13	23	4	11	3	6
ENSMUSG00000001445.10	3836	4831	4017	5340	3078	3631
ENSMUSG00000001467.5	35052	38333	30813	41593	29198	36354
ENSMUSG00000001472.17	34045	42457	33534	50281	24863	29552
ENSMUSG00000001473.6	1363	1736	2251	3366	849	988
ENSMUSG00000001482.15	6778	8055	6265	8374	4253	5143
