GeneID	2_NPC_DMSO	2a_NPC_EPZ	4_NPC_DMSO	4a_NPC_EPZ	5_NPC_DMSO	5a_NPC_EPZ
ENSMUSG00000028479.18	2782	3021	2340	3231	2035	2343
ENSMUSG00000028480.14	4962	5658	6003	7696	3597	4099
ENSMUSG00000028483.13	3951	3932	3967	5253	3903	4315
ENSMUSG00000028484.16	32091	34323	27506	35514	27957	32489
ENSMUSG00000028487.18	729	683	318	370	135	211
ENSMUSG00000028488.15	3762	4768	2215	3643	2854	3514
ENSMUSG00000028492.13	9	4	5	5	4	8
ENSMUSG00000028494.12	1180	1399	2731	3736	889	1084
ENSMUSG00000028495.14	28949	35850	29877	37577	20801	24488
ENSMUSG00000028496.17	11096	12675	8651	12534	11373	13082
ENSMUSG00000028497.12	68	134	212	333	23	34
ENSMUSG00000028514.15	9497	9118	9067	10649	6629	7644
ENSMUSG00000028517.8	4522	4828	4413	3598	2215	2383
ENSMUSG00000028518.8	4183	4464	4416	4740	2752	3340
ENSMUSG00000028519.16	8499	9159	5497	6513	8465	10212
ENSMUSG00000028520.12	0	1	0	0	0	0
ENSMUSG00000028521.17	1072	1363	1444	2046	1050	1108
ENSMUSG00000028522.16	5036	5085	5297	6181	4007	4166
ENSMUSG00000028523.14	3	6	1	12	4	6
ENSMUSG00000028524.21	7821	9060	5219	8702	6651	7907
ENSMUSG00000028525.16	3276	3356	1459	2321	1267	1436
ENSMUSG00000028527.18	1323	1635	2081	1097	1112	1483
ENSMUSG00000028528.16	9477	9774	5544	7780	6129	7344
ENSMUSG00000028530.14	9488	10313	7100	9120	5656	6270
ENSMUSG00000028532.14	9327	9913	9511	10528	7218	7289
ENSMUSG00000028533.10	0	0	0	0	0	0
ENSMUSG00000028536.12	14	11	51	35	3	12
ENSMUSG00000028538.12	3164	3829	2812	3764	2565	2874
ENSMUSG00000028539.14	89	104	45	96	15	28
ENSMUSG00000028540.6	1389	1668	1357	1677	1155	1273
ENSMUSG00000028541.14	7114	9088	5676	7046	6243	6818
ENSMUSG00000028542.17	1803	1929	1557	2083	876	1131
ENSMUSG00000028544.14	2	0	12	15	7	4
ENSMUSG00000028545.13	2802	3686	2423	3753	2683	3271
ENSMUSG00000028546.17	14434	11754	18046	17679	19425	20453
ENSMUSG00000028549.17	500	543	694	692	417	493
ENSMUSG00000028550.15	1231	1357	1099	1498	1012	1189
ENSMUSG00000028551.14	335	392	381	464	291	275
ENSMUSG00000028552.13	15966	16913	11822	17630	11442	12960
ENSMUSG00000028553.12	5	2	0	1	0	1
ENSMUSG00000028555.15	98	143	298	317	39	36
ENSMUSG00000028556.15	22679	24306	20255	24023	20085	22640
ENSMUSG00000028557.10	10664	11588	7865	10730	8793	10219
ENSMUSG00000028558.14	42	60	19	33	9	14
ENSMUSG00000028559.17	8413	9238	7389	10623	6979	8159
ENSMUSG00000028560.11	5005	5259	6359	6158	3817	4149
ENSMUSG00000028563.16	1780	2185	1955	2652	1748	1888
ENSMUSG00000028565.18	3356	3135	2612	2468	1579	1922
ENSMUSG00000028567.8	4072	4892	6125	6765	3335	3863
ENSMUSG00000028568.16	10497	12233	9880	11935	9510	10783
ENSMUSG00000028571.15	1	2	2	1	0	1
ENSMUSG00000028572.13	5861	6891	5056	6742	4447	5106
ENSMUSG00000028573.18	243	315	352	516	324	444
ENSMUSG00000028575.11	23	43	28	39	27	25
ENSMUSG00000028576.12	2403	2626	2686	2943	2459	2762
ENSMUSG00000028577.13	9989	10951	9707	11374	8151	9110
ENSMUSG00000028578.8	1416	1519	1406	1756	1314	1440
ENSMUSG00000028580.15	15500	17635	14100	17590	12872	14466
ENSMUSG00000028581.17	41	47	42	59	26	33
ENSMUSG00000028582.14	3563	4477	4413	5863	2696	2776
ENSMUSG00000028583.14	4554	5155	9506	8715	4973	5698
ENSMUSG00000028584.3	94	167	659	771	27	47
ENSMUSG00000028587.18	995	1107	1229	1083	323	334
ENSMUSG00000028589.2	0	0	0	0	0	0
ENSMUSG00000028590.6	0	1	1	0	0	0
ENSMUSG00000028591.11	300	411	1331	1939	363	411
ENSMUSG00000028593.5	0	0	0	0	0	0
ENSMUSG00000028597.11	306	358	208	247	43	71
ENSMUSG00000028599.10	60	131	234	293	49	75
ENSMUSG00000028600.15	123	104	236	308	27	22
ENSMUSG00000028601.18	928	1135	1143	1564	276	357
ENSMUSG00000028602.12	222	244	48	33	9	7
ENSMUSG00000028603.15	5178	5946	5349	6971	4741	5944
ENSMUSG00000028607.16	1244	1589	1789	2116	1118	1436
ENSMUSG00000028608.15	2886	3300	3327	4249	2127	2328
ENSMUSG00000028609.6	4715	4815	4921	6225	4043	4492
ENSMUSG00000028610.16	584	997	423	803	347	568
ENSMUSG00000028612.10	0	0	0	0	0	1
ENSMUSG00000028613.14	18978	20791	14504	17451	13253	15054
ENSMUSG00000028614.14	3985	4385	4826	4963	2651	2918
ENSMUSG00000028617.10	3201	3608	3675	4513	2723	3033
ENSMUSG00000028618.11	17065	19344	16765	23394	13677	17025
ENSMUSG00000028619.15	2595	2948	2254	3178	2211	2700
ENSMUSG00000028621.17	382	529	424	530	315	367
ENSMUSG00000028622.11	3883	5109	4282	5278	3257	3671
ENSMUSG00000028626.5	637	902	425	558	111	202
ENSMUSG00000028629.9	2990	3171	2954	3598	2729	3261
ENSMUSG00000028630.9	8382	8598	8830	11190	8665	9338
ENSMUSG00000028631.7	391	554	446	417	314	592
ENSMUSG00000028633.7	7881	8616	7129	8584	6153	6801
ENSMUSG00000028634.17	690	827	334	543	374	501
ENSMUSG00000028635.7	0	0	0	1	1	2
ENSMUSG00000028636.14	579	775	642	736	426	491
ENSMUSG00000028637.15	744	876	594	795	649	722
ENSMUSG00000028639.14	49462	60690	45842	61008	43988	50153
ENSMUSG00000028640.11	764	1027	2017	2796	564	911
ENSMUSG00000028641.16	2514	3042	4097	5107	1211	1294
ENSMUSG00000028642.7	64	86	56	107	68	85
ENSMUSG00000028643.11	3123	3701	2635	3857	2993	3564
ENSMUSG00000028644.16	26	65	247	303	59	70
ENSMUSG00000028645.11	6979	8147	19757	16943	6323	8433
ENSMUSG00000028646.16	5612	6844	5781	7912	5340	5757
ENSMUSG00000028647.13	770	848	832	1027	523	654
ENSMUSG00000028648.13	3577	4171	2906	4706	2795	3517
ENSMUSG00000028649.18	49637	42290	39247	44288	34209	41071
ENSMUSG00000028651.12	2851	3276	2623	3380	1969	2450
ENSMUSG00000028653.16	2674	2986	2480	3366	2248	2497
ENSMUSG00000028654.13	10974	11814	9182	10770	11835	12711
ENSMUSG00000028655.11	962	1246	1796	1524	1157	1411
ENSMUSG00000028656.14	14292	16201	15033	19420	12618	14655
ENSMUSG00000028657.14	5556	6349	5212	6539	3888	4487
ENSMUSG00000028661.8	863	1166	467	610	438	562
ENSMUSG00000028664.14	21582	23659	17925	21627	21918	26374
ENSMUSG00000028668.5	5178	5804	5119	6721	4411	5115
ENSMUSG00000028669.15	2372	2812	2403	3527	2006	2145
ENSMUSG00000028670.14	7932	10040	7555	11208	7691	9119
ENSMUSG00000028671.16	1358	1754	1964	2621	1378	1580
ENSMUSG00000028672.13	2079	2782	2392	3354	1810	2146
ENSMUSG00000028673.10	3154	3698	3373	4159	2397	2894
ENSMUSG00000028675.12	8263	8401	8769	9042	8139	9017
ENSMUSG00000028676.17	18937	20644	19602	24278	16589	18939
ENSMUSG00000028677.19	7405	9047	7442	9568	6329	7517
ENSMUSG00000028678.13	2332	2567	3526	3391	1901	2094
ENSMUSG00000028680.14	2424	2796	3599	4477	3884	4122
ENSMUSG00000028681.11	876	1028	1061	1218	535	536
ENSMUSG00000028683.14	1870	2404	1721	2209	1373	1641
ENSMUSG00000028684.14	2115	2608	2292	2781	1931	2273
ENSMUSG00000028687.17	567	719	819	1036	452	462
ENSMUSG00000028688.13	2220	2680	2026	2616	1615	1907
ENSMUSG00000028689.14	654	741	917	1023	670	741
ENSMUSG00000028690.4	1879	2301	1828	2108	1674	1991
ENSMUSG00000028691.12	21815	23926	22749	24132	9320	10401
ENSMUSG00000028692.14	28989	35025	25261	34768	21242	25353
ENSMUSG00000028693.15	23304	24735	24185	27676	17198	19257
ENSMUSG00000028696.12	940	948	863	1041	734	858
ENSMUSG00000028698.13	24556	25152	20120	28332	23341	25091
ENSMUSG00000028699.9	15	60	20	73	6	11
ENSMUSG00000028700.14	5708	7026	5414	6910	4064	4722
ENSMUSG00000028701.4	215	255	190	207	180	250
ENSMUSG00000028702.15	1281	1498	2239	1848	1068	1090
ENSMUSG00000028703.14	5737	7226	5828	8060	4992	5875
ENSMUSG00000028706.14	1314	1434	1285	1622	1102	1365
ENSMUSG00000028707.15	124	117	71	116	108	145
ENSMUSG00000028708.16	1507	1902	1552	2037	1300	1497
ENSMUSG00000028709.3	381	450	486	615	237	272
ENSMUSG00000028710.17	1308	1744	1273	1688	1262	1289
ENSMUSG00000028712.12	0	0	0	0	0	0
ENSMUSG00000028713.17	8	19	14	14	19	29
ENSMUSG00000028715.2	0	0	0	0	0	0
ENSMUSG00000028716.15	1	1	10	5	0	3
ENSMUSG00000028717.12	43	50	80	107	40	61
ENSMUSG00000028718.16	1272	1291	2240	2271	1067	1141
ENSMUSG00000028719.8	12992	13944	9920	14215	11204	13183
ENSMUSG00000028729.15	5157	6142	5116	6235	4028	4424
ENSMUSG00000028730.14	159	190	116	189	137	136
ENSMUSG00000028736.13	111	126	407	218	1464	1618
ENSMUSG00000028737.15	1073	1402	1561	2111	823	829
ENSMUSG00000028738.14	0	10	5	12	1	2
ENSMUSG00000028741.13	3164	3852	3051	3704	2048	2406
ENSMUSG00000028743.7	1118	1588	1501	1978	1060	1149
ENSMUSG00000028744.15	996	1270	1420	1694	876	1027
ENSMUSG00000028745.18	15028	18654	15850	21952	12852	15086
ENSMUSG00000028747.10	47	92	24	43	14	26
ENSMUSG00000028749.7	14	33	46	31	7	38
ENSMUSG00000028750.12	3	6	4	5	1	3
ENSMUSG00000028751.13	2	6	0	0	1	2
ENSMUSG00000028753.12	16	59	24	26	25	56
ENSMUSG00000028755.3	6	15	34	59	8	16
ENSMUSG00000028756.12	6386	7637	4937	6922	5987	7374
ENSMUSG00000028757.4	11804	15411	17005	21187	8895	10599
ENSMUSG00000028758.12	246	302	207	296	179	258
ENSMUSG00000028759.13	28841	32507	23998	30683	25378	28923
ENSMUSG00000028760.16	23562	26865	22091	27527	22795	24766
ENSMUSG00000028763.17	6023	6565	23394	29964	4058	5024
ENSMUSG00000028766.10	2737	2861	2428	2267	783	1026
ENSMUSG00000028771.13	5807	5874	6197	7956	5714	6365
ENSMUSG00000028772.19	3444	3913	2986	4027	2920	3247
ENSMUSG00000028773.8	1931	2515	4898	6243	1154	1773
ENSMUSG00000028776.14	585	951	9050	9445	760	1000
ENSMUSG00000028777.8	1	0	5	1	1	0
ENSMUSG00000028778.15	14	28	83	86	16	18
ENSMUSG00000028779.16	2818	3849	2979	4255	2493	3019
ENSMUSG00000028780.13	636	805	944	1721	767	1114
ENSMUSG00000028782.14	9681	13312	8940	11446	6478	8020
ENSMUSG00000028784.14	8	10	6	17	7	1
ENSMUSG00000028785.13	552	889	575	1064	967	1507
ENSMUSG00000028786.15	21	24	20	11	3	6
ENSMUSG00000028788.14	23906	26444	21867	27063	20946	23966
ENSMUSG00000028789.16	902	1053	650	926	694	907
ENSMUSG00000028790.13	38863	44432	37291	50525	36731	42284
ENSMUSG00000028792.14	4810	5852	6054	6292	3766	4286
ENSMUSG00000028793.15	4999	6442	3855	6132	3932	4557
ENSMUSG00000028794.13	566	684	527	1292	383	457
ENSMUSG00000028795.15	3404	4232	2755	4350	3186	3744
ENSMUSG00000028796.17	16955	20398	16720	20399	18155	22302
ENSMUSG00000028797.20	7484	9152	7482	9885	6574	7640
ENSMUSG00000028798.16	11093	13600	10611	13483	8281	9841
ENSMUSG00000028799.15	6946	8262	6313	8237	6353	7057
ENSMUSG00000028800.15	11227	13424	11889	14742	8581	9550
ENSMUSG00000028801.14	10	5	3	14	2	6
ENSMUSG00000028803.18	2453	2822	1965	2750	1816	2385
ENSMUSG00000028804.20	4234	4930	2832	4291	3138	3867
ENSMUSG00000028807.2	1655	1956	1294	1654	1246	1414
ENSMUSG00000028809.16	19514	22656	21859	26655	15939	17201
ENSMUSG00000028811.11	9647	11587	8920	12394	8200	9590
ENSMUSG00000028813.2	79	85	44	93	48	59
ENSMUSG00000028820.13	55539	64589	51579	68520	48380	54674
ENSMUSG00000028821.8	3151	3567	2990	4249	2669	2999
ENSMUSG00000028822.11	5359	6383	4719	6664	4492	5245
ENSMUSG00000028825.7	75	101	50	55	19	14
ENSMUSG00000028826.14	17238	20386	14919	20683	14566	17113
ENSMUSG00000028830.14	6884	8276	6321	8301	5248	6559
ENSMUSG00000028832.11	72469	82288	58863	90116	71215	78284
ENSMUSG00000028833.13	8369	10835	6177	9083	6698	7974
ENSMUSG00000028834.13	41	46	24	39	16	13
ENSMUSG00000028836.14	131	223	658	892	119	155
ENSMUSG00000028837.8	8708	11026	8909	12102	7447	8874
ENSMUSG00000028838.11	72	121	258	308	62	72
ENSMUSG00000028840.10	1008	1213	1053	1312	906	920
ENSMUSG00000028841.14	54	56	167	224	32	43
ENSMUSG00000028842.15	2667	2519	2744	3312	2189	2595
ENSMUSG00000028843.8	2598	3108	2455	3518	2165	2468
ENSMUSG00000028845.15	77	92	90	156	53	38
ENSMUSG00000028847.8	6866	8603	5717	8474	6071	7308
ENSMUSG00000028848.13	1157	1477	1191	1658	1058	1151
ENSMUSG00000028849.17	17033	21737	17085	25901	18487	19572
ENSMUSG00000028850.2	618	825	693	998	542	578
ENSMUSG00000028851.6	8917	11801	10253	13271	7771	8889
ENSMUSG00000028854.9	2964	3471	3295	4097	2316	2615
ENSMUSG00000028857.16	4257	5578	3801	5530	3469	3946
ENSMUSG00000028859.14	11	13	7	5	2	1
ENSMUSG00000028860.13	127	132	113	229	80	84
ENSMUSG00000028861.13	2311	3152	2414	3586	1916	2084
ENSMUSG00000028862.6	41	46	68	105	36	40
ENSMUSG00000028863.13	7674	8913	5489	7510	6167	6875
ENSMUSG00000028864.7	44	58	15	15	4	6
ENSMUSG00000028865.14	15	30	28	57	16	18
ENSMUSG00000028868.13	3490	3714	3749	4052	1729	1896
ENSMUSG00000028869.13	6514	7453	6060	7782	4693	5025
ENSMUSG00000028871.7	105	128	187	254	108	121
ENSMUSG00000028873.16	2854	3439	4548	4456	2684	3015
ENSMUSG00000028874.14	23	29	12	13	7	6
ENSMUSG00000028876.7	2736	3787	3571	5403	5321	5234
ENSMUSG00000028878.11	2126	2756	2460	2986	1906	2037
ENSMUSG00000028879.4	13702	14770	10374	14290	11144	13448
ENSMUSG00000028882.13	7354	8850	6838	9044	6567	7387
ENSMUSG00000028883.17	5133	5478	4757	6862	6640	8243
ENSMUSG00000028884.14	2972	3429	3152	3411	1764	1941
ENSMUSG00000028885.8	185	248	290	342	42	74
ENSMUSG00000028886.15	4298	4897	4937	5624	3473	3959
ENSMUSG00000028889.17	2652	3076	2423	3105	2056	2208
ENSMUSG00000028890.13	2417	2752	2103	2523	1718	2019
ENSMUSG00000028893.8	4046	4765	5181	6731	2663	2773
ENSMUSG00000028894.18	2742	3259	3028	3750	2316	2570
ENSMUSG00000028896.13	3712	4531	4448	4423	3274	3618
ENSMUSG00000028898.15	2400	3195	2588	3579	2334	2466
ENSMUSG00000028899.11	1954	2290	2016	2522	1887	2207
ENSMUSG00000028901.13	4588	5068	4144	5549	4009	4278
ENSMUSG00000028902.4	7029	7720	7315	8669	5802	6628
ENSMUSG00000028906.16	22622	23977	22902	25169	28282	30923
ENSMUSG00000028907.7	2380	2716	2606	3513	1975	2037
ENSMUSG00000028909.17	1586	1832	1164	1640	1034	1238
ENSMUSG00000028910.12	973	1186	1010	1402	787	795
ENSMUSG00000028911.16	7545	9097	8089	10869	7902	9013
ENSMUSG00000028914.13	3591	4114	3545	4395	3477	4120
ENSMUSG00000028917.14	3886	4631	3563	4653	2829	3107
ENSMUSG00000028919.11	152	302	154	274	75	156
ENSMUSG00000028920.9	4830	5554	4525	6164	4392	5000
ENSMUSG00000028923.14	2118	3053	2819	3540	1858	1966
ENSMUSG00000028926.15	5247	5472	4301	5332	5237	5776
ENSMUSG00000028927.6	16	30	33	47	25	34
ENSMUSG00000028931.11	2042	2666	1538	2007	1691	2096
ENSMUSG00000028932.7	11347	13082	11567	15051	9852	11113
ENSMUSG00000028933.11	818	972	1050	1020	532	581
ENSMUSG00000028936.15	17971	19862	17443	20785	13327	15592
ENSMUSG00000028937.14	7449	9336	5927	11021	7650	9197
ENSMUSG00000028938.9	0	1	0	0	0	0
ENSMUSG00000028940.2	3	1	13	5	8	5
ENSMUSG00000028943.18	42	98	143	199	59	67
ENSMUSG00000028944.14	5033	5697	4836	6606	5513	5968
ENSMUSG00000028945.9	6938	8324	6648	9277	5937	6495
ENSMUSG00000028946.7	14	64	40	57	34	39
ENSMUSG00000028948.16	5359	6193	4605	5734	3475	3845
ENSMUSG00000028949.13	4878	6319	3204	5135	3297	3864
ENSMUSG00000028950.3	54	75	43	66	29	20
ENSMUSG00000028952.12	1619	2247	1565	2319	1266	1349
ENSMUSG00000028953.10	9298	11177	9005	10798	7145	8192
ENSMUSG00000028954.11	6850	7826	7207	9307	5724	6345
ENSMUSG00000028955.3	3804	4291	4671	4963	2652	3076
ENSMUSG00000028957.12	457	560	602	823	357	410
ENSMUSG00000028958.14	1538	2069	1408	2264	1511	1834
ENSMUSG00000028959.14	5447	7061	6029	8134	4474	4859
ENSMUSG00000028960.18	17392	19983	16866	21836	16158	18902
ENSMUSG00000028961.15	10723	12659	10419	12011	8913	9653
ENSMUSG00000028962.14	2699	3589	5279	6860	2287	2574
ENSMUSG00000028963.1	0	0	2	0	0	0
ENSMUSG00000028964.14	8113	9901	6983	9497	5947	7370
ENSMUSG00000028965.13	243	303	7250	6979	850	1118
ENSMUSG00000028967.10	7861	7717	7180	6324	4579	5064
ENSMUSG00000028969.10	7043	8852	6143	9575	5812	6500
ENSMUSG00000028970.9	262	291	357	590	103	109
ENSMUSG00000028971.4	14	29	16	10	12	10
ENSMUSG00000028972.11	22	25	10	14	11	6
ENSMUSG00000028973.18	3850	5111	3845	5506	3426	4231
ENSMUSG00000028974.13	2022	2567	2217	3051	2180	2530
ENSMUSG00000028975.16	3600	4314	3678	4914	2950	3515
ENSMUSG00000028976.10	49	65	39	52	16	24
ENSMUSG00000028977.16	2009	2444	2317	3078	2831	2984
ENSMUSG00000028978.12	31	47	30	58	26	51
ENSMUSG00000028979.17	45	55	57	71	36	41
ENSMUSG00000028980.14	1182	1370	1289	1858	587	772
ENSMUSG00000028982.9	1198	1491	1002	1388	1047	1087
ENSMUSG00000028986.12	20608	20846	14734	18921	15886	17552
ENSMUSG00000028988.13	5417	6456	4660	6124	5127	5925
ENSMUSG00000028989.3	0	2	9	22	2	2
ENSMUSG00000028990.13	2903	3061	2722	3657	2173	2427
ENSMUSG00000028991.15	10052	11340	9250	11040	9009	10345
ENSMUSG00000028992.13	956	1021	922	1281	698	851
ENSMUSG00000028995.14	6521	6568	6789	8206	6160	6250
ENSMUSG00000028996.9	7	11	8	19	5	12
ENSMUSG00000028998.6	4777	5597	4580	6452	3811	4442
ENSMUSG00000028999.15	2384	2685	2329	3083	1782	1999
ENSMUSG00000029001.15	4913	5985	4365	5754	5380	5964
ENSMUSG00000029003.11	2647	3518	2404	3390	2279	2733
ENSMUSG00000029004.15	23291	22623	17423	21793	18889	21906
ENSMUSG00000029005.4	10255	10377	6651	7850	6928	7765
ENSMUSG00000029007.8	662	758	1270	1280	392	464
ENSMUSG00000029009.17	4484	5076	5703	6929	4833	5236
ENSMUSG00000029012.11	3090	3596	2985	3409	1985	2260
ENSMUSG00000029014.14	4728	5314	4610	5700	3678	4061
ENSMUSG00000029015.9	36	25	12	13	7	11
ENSMUSG00000029016.13	12941	15437	12572	17196	12648	14567
ENSMUSG00000029017.13	5724	6617	5505	7282	4429	5278
ENSMUSG00000029019.8	24	27	163	241	29	22
ENSMUSG00000029020.13	9589	11778	7961	11576	8280	9741
ENSMUSG00000029022.18	3627	4539	4038	4751	3128	3435
ENSMUSG00000029026.16	173	193	90	79	20	20
ENSMUSG00000029027.9	1129	1245	1200	1470	848	848
ENSMUSG00000029028.14	6950	8125	6480	8974	5913	6977
ENSMUSG00000029029.14	2313	2797	2073	2811	1946	2167
ENSMUSG00000029030.14	4292	5120	4037	5133	3862	4105
ENSMUSG00000029032.12	149	253	762	895	151	170
ENSMUSG00000029033.16	10468	13695	8409	14056	10020	11491
ENSMUSG00000029034.9	4597	5667	4428	5534	3804	4256
ENSMUSG00000029036.18	4395	5420	4898	6321	3438	3619
ENSMUSG00000029038.9	5388	6798	5243	7906	4478	5399
ENSMUSG00000029044.9	0	0	0	0	0	0
ENSMUSG00000029047.13	953	1163	928	1150	744	840
ENSMUSG00000029048.3	6207	7190	7265	9509	5095	6102
ENSMUSG00000029049.14	281	301	222	261	187	210
ENSMUSG00000029050.15	8027	9594	7320	9165	6625	7137
ENSMUSG00000029053.16	3935	4770	2484	3684	2102	2466
ENSMUSG00000029054.8	6	7	6	12	2	2
ENSMUSG00000029055.17	749	1295	380	600	339	551
ENSMUSG00000029056.13	3594	4388	3997	5493	3039	2988
ENSMUSG00000029059.9	492	660	466	659	468	558
ENSMUSG00000029060.17	4876	6329	4227	5990	3527	3781
ENSMUSG00000029061.2	329	400	427	790	205	216
ENSMUSG00000029062.14	7960	9446	9371	11769	7548	8133
ENSMUSG00000029063.16	7559	9540	8042	10464	6565	7530
ENSMUSG00000029064.15	68710	83070	58256	85964	59401	69207
ENSMUSG00000029066.12	5415	6386	4840	6905	4486	5254
ENSMUSG00000029068.16	15442	17687	18793	25441	14073	14205
ENSMUSG00000029070.9	1026	1221	1433	1592	692	880
ENSMUSG00000029071.16	10789	13512	10568	15285	9180	9912
ENSMUSG00000029072.3	95	97	74	89	76	101
ENSMUSG00000029073.9	1586	1947	1336	1732	1430	1577
ENSMUSG00000029074.14	1	0	14	15	3	0
ENSMUSG00000029075.6	148	169	164	250	91	112
ENSMUSG00000029076.14	10672	12114	11294	14014	8504	10245
ENSMUSG00000029082.17	15	19	14	7	3	6
ENSMUSG00000029084.5	171	140	187	186	35	40
ENSMUSG00000029086.15	3481	3178	4636	3841	4198	4049
ENSMUSG00000029088.16	151	203	59	94	46	63
ENSMUSG00000029089.8	1157	1296	1152	1391	911	957
ENSMUSG00000029090.12	7289	8066	7857	7970	7066	8000
ENSMUSG00000029092.9	3	4	1	5	0	1
ENSMUSG00000029093.14	2112	2565	2157	2919	1698	1867
ENSMUSG00000029094.12	13221	14709	12198	15918	12294	15060
ENSMUSG00000029095.17	217	296	158	294	146	219
ENSMUSG00000029096.15	48	71	10	58	3	12
ENSMUSG00000029097.11	1009	1097	988	1189	755	863
ENSMUSG00000029098.17	2516	3004	2600	3099	2401	2583
ENSMUSG00000029101.16	8684	10095	7995	9127	8264	9197
ENSMUSG00000029102.9	119	156	103	150	96	101
ENSMUSG00000029103.16	9818	12002	17314	21631	6850	8280
ENSMUSG00000029104.15	8840	8931	8521	10571	6659	8018
ENSMUSG00000029106.14	25898	30406	21051	28594	20625	23362
ENSMUSG00000029108.14	18102	19731	7034	11302	5666	8291
ENSMUSG00000029110.13	14773	17604	15454	18816	12144	13702
ENSMUSG00000029111.7	3162	3793	3568	4160	2791	3304
ENSMUSG00000029112.5	20	58	152	325	219	206
ENSMUSG00000029119.9	650	937	1689	1862	512	792
ENSMUSG00000029120.10	11773	12638	8524	12694	7584	9604
ENSMUSG00000029121.16	101937	120766	80212	116507	100613	116620
ENSMUSG00000029122.11	904	1263	995	1127	486	640
ENSMUSG00000029123.8	3216	3849	2459	3829	3680	4240
ENSMUSG00000029125.14	1295	1730	1509	1899	1248	1414
ENSMUSG00000029126.7	44024	50154	26282	41128	33652	36333
ENSMUSG00000029127.15	1645	1973	1412	1843	1386	1529
ENSMUSG00000029128.12	4046	4716	3845	5032	3897	4498
ENSMUSG00000029130.12	594	740	475	647	370	481
ENSMUSG00000029131.14	14014	17195	11137	17463	11302	13240
ENSMUSG00000029134.14	6	16	5	13	4	7
ENSMUSG00000029135.10	952	1055	960	1470	274	306
ENSMUSG00000029136.9	87	79	89	133	45	52
ENSMUSG00000029138.4	16	27	12	11	5	3
ENSMUSG00000029141.16	2966	3059	2646	3524	2444	2755
ENSMUSG00000029145.12	3455	4232	3364	4586	2885	3124
ENSMUSG00000029146.14	6251	7633	6578	8321	5651	6464
ENSMUSG00000029147.11	14997	18133	14665	19690	12695	14895
ENSMUSG00000029148.15	8852	10273	8409	11285	7347	8028
ENSMUSG00000029149.14	97	129	197	206	62	73
ENSMUSG00000029151.14	739	683	912	946	1239	1159
ENSMUSG00000029152.13	15108	17553	13831	19687	12008	14485
ENSMUSG00000029153.11	792	960	408	650	440	693
ENSMUSG00000029154.13	45	40	14	14	18	12
ENSMUSG00000029155.16	0	0	2	7	1	3
ENSMUSG00000029156.11	2705	3058	2328	2951	1683	2036
ENSMUSG00000029158.9	2	3	1	4	3	4
ENSMUSG00000029161.7	626	922	1107	1575	435	606
ENSMUSG00000029162.15	342	506	410	652	186	242
ENSMUSG00000029163.9	3909	4073	4603	6872	1079	1351
ENSMUSG00000029165.17	4979	6156	4853	6725	4738	5299
ENSMUSG00000029166.14	5832	7719	5339	7710	5844	6523
ENSMUSG00000029167.13	1076	1247	551	929	709	852
ENSMUSG00000029168.14	47566	53891	36114	51275	46448	51634
ENSMUSG00000029169.11	26646	28746	26175	32053	21191	23680
ENSMUSG00000029171.12	2332	2630	2531	3025	1574	2037
ENSMUSG00000029173.12	2016	2247	1946	2414	1533	1766
ENSMUSG00000029174.18	4357	4976	4341	5111	2838	3528
ENSMUSG00000029175.17	2029	2409	2188	2674	1452	1749
ENSMUSG00000029176.13	9807	11202	9566	12397	8362	9415
ENSMUSG00000029177.9	3516	3989	5126	4884	2838	3187
ENSMUSG00000029178.14	2015	2220	2331	2975	2261	2365
ENSMUSG00000029179.14	1610	1985	1813	2297	1296	1401
ENSMUSG00000029182.10	0	0	0	0	0	0
ENSMUSG00000029184.5	0	0	0	0	0	0
ENSMUSG00000029185.14	1020	1131	1429	1665	332	482
ENSMUSG00000029186.12	1223	1307	2032	2138	1145	1234
ENSMUSG00000029188.14	17	27	129	109	10	10
ENSMUSG00000029189.10	1013	1522	639	809	323	623
ENSMUSG00000029190.19	10681	11523	8747	11709	9060	10541
ENSMUSG00000029191.16	5226	5722	5692	5958	3166	3764
ENSMUSG00000029192.17	9834	11760	7140	9319	7537	8928
ENSMUSG00000029193.7	21	29	86	39	6	15
ENSMUSG00000029195.10	148	195	703	610	28	35
ENSMUSG00000029196.9	3216	3745	2673	3237	2967	3445
ENSMUSG00000029198.3	4715	5845	4717	5860	4000	4543
ENSMUSG00000029199.11	2868	3515	2622	3562	2277	2731
ENSMUSG00000029201.14	3390	3887	4003	4972	2826	3139
ENSMUSG00000029202.12	15702	16429	16955	18855	12012	13706
ENSMUSG00000029203.16	13698	15050	11076	15082	11315	13263
ENSMUSG00000029204.7	9	6	4	9	5	2
ENSMUSG00000029205.12	40	50	21	18	1	4
ENSMUSG00000029206.13	190	291	126	225	119	231
ENSMUSG00000029207.16	7144	8317	5758	8592	7146	7907
ENSMUSG00000029208.16	6388	7454	6566	7659	5012	5626
ENSMUSG00000029209.15	1543	1597	1176	1567	994	1039
ENSMUSG00000029211.11	481	581	217	580	184	248
ENSMUSG00000029212.11	141	226	72	219	54	106
ENSMUSG00000029213.11	4041	4726	3699	4799	3425	4050
ENSMUSG00000029217.16	517	578	841	1177	257	260
ENSMUSG00000029219.10	259	364	246	243	105	149
ENSMUSG00000029221.15	9784	11272	9272	11717	9257	10776
