mESC	H3K27ac	mESC_EPZ_rep1_H3K27ac_merged.filtered.bam	mESC_EPZ_rep1_Input.filtered.bam
mESC	H3K27me3	mESC_EPZ_rep1_H3K27me3_merged.filtered.bam	mESC_EPZ_rep1_Input.filtered.bam
mESC	H3K36me3	mESC_EPZ_rep1_H3K36me3_merged.filtered.bam	mESC_EPZ_rep1_Input.filtered.bam
mESC	H3K4me1	mESC_EPZ_rep1_H3K4me1_merged.filtered.bam	mESC_EPZ_rep1_Input.filtered.bam
mESC	H3K4me3	mESC_EPZ_rep1_H3K4me3_merged.filtered.bam	mESC_EPZ_rep1_Input.filtered.bam
mESC	H3K79me2	mESC_EPZ_rep1_H3K79me2_merged.filtered.bam	mESC_EPZ_rep1_Input.filtered.bam
mESC	H3K9me3	mESC_EPZ_rep1_H3K9me3_merged.filtered.bam	mESC_EPZ_rep1_Input.filtered.bam
mESC	H3K27ac	mESC_EPZ_rep2_H3K27ac_merged.filtered.bam	mESC_EPZ_rep2_Input.filtered.bam
mESC	H3K27me3	mESC_EPZ_rep2_H3K27me3_merged.filtered.bam	mESC_EPZ_rep2_Input.filtered.bam
mESC	H3K36me3	mESC_EPZ_rep2_H3K36me3_merged.filtered.bam	mESC_EPZ_rep2_Input.filtered.bam
mESC	H3K4me1	mESC_EPZ_rep2_H3K4me1_merged.filtered.bam	mESC_EPZ_rep2_Input.filtered.bam
mESC	H3K4me3	mESC_EPZ_rep2_H3K4me3_merged.filtered.bam	mESC_EPZ_rep2_Input.filtered.bam
mESC	H3K79me2	mESC_EPZ_rep2_H3K79me2_merged.filtered.bam	mESC_EPZ_rep2_Input.filtered.bam
mESC	H3K9me3	mESC_EPZ_rep2_H3K9me3_merged.filtered.bam	mESC_EPZ_rep2_Input.filtered.bam
