GeneID	mESC_DMSO_rep1	mESC_DMSO_rep2	mESC_DMSO_rep3	mESC_EPZ_rep1	mESC_EPZ_rep2	mESC_EPZ_rep3
ENSMUSG00000037185.9	216	51	211	342	107	480
ENSMUSG00000037188.7	1886	1391	1243	2319	1308	1967
ENSMUSG00000037190.12	1319	1094	1087	1300	922	1242
ENSMUSG00000037196.6	67	28	54	80	25	108
ENSMUSG00000037197.11	14962	9770	11379	17408	9662	15482
ENSMUSG00000037202.6	3	5	0	2	4	1
ENSMUSG00000037204.7	4116	3395	3235	4922	3540	4311
ENSMUSG00000037206.15	107	29	50	99	51	69
ENSMUSG00000037210.16	3834	2852	3461	3943	2765	4160
ENSMUSG00000037211.12	4560	2090	4430	5062	2203	4766
ENSMUSG00000037214.12	1126	884	851	1181	846	1056
ENSMUSG00000037216.5	769	592	592	884	502	813
ENSMUSG00000037217.15	532	501	362	519	484	553
ENSMUSG00000037221.13	1116	1016	943	1407	1060	1338
ENSMUSG00000037224.15	300	329	145	254	294	213
ENSMUSG00000037225.13	164	71	74	131	86	73
ENSMUSG00000037234.17	8545	5623	9288	6970	5154	8947
ENSMUSG00000037235.13	637	351	869	775	323	1073
ENSMUSG00000037236.14	45103	36605	34392	43089	32986	40071
ENSMUSG00000037239.8	1117	686	1194	1141	740	1358
ENSMUSG00000037242.8	32258	22042	26860	39656	24727	39637
ENSMUSG00000037243.17	6765	4836	5816	6840	4125	6503
ENSMUSG00000037246.6	0	0	0	0	0	0
ENSMUSG00000037247.3	0	0	0	3	2	2
ENSMUSG00000037251.5	2838	2400	2409	2604	2314	2665
ENSMUSG00000037253.8	9760	6265	9160	11110	6356	11523
ENSMUSG00000037254.18	6	0	3	4	0	2
ENSMUSG00000037257.8	3707	2539	3258	4228	2561	4198
ENSMUSG00000037259.15	86	78	50	93	82	60
ENSMUSG00000037260.8	6545	4951	5831	5951	4339	6314
ENSMUSG00000037262.7	1745	1143	1326	1709	1021	1675
ENSMUSG00000037263.13	2	1	0	0	0	1
ENSMUSG00000037266.18	41850	37743	36292	40273	29805	43392
ENSMUSG00000037270.18	5993	5080	5186	4806	4273	5408
ENSMUSG00000037275.14	8529	7220	6293	9015	7616	7828
ENSMUSG00000037278.9	11388	9936	10230	10170	8445	10064
ENSMUSG00000037279.13	1075	630	992	1236	575	1152
ENSMUSG00000037280.12	6922	6045	3000	5880	4852	3369
ENSMUSG00000037286.15	9533	6883	7472	9187	6470	8853
ENSMUSG00000037287.15	4095	2828	3165	4190	2357	3818
ENSMUSG00000037295.7	3968	2706	3428	5060	3038	4782
ENSMUSG00000037296.7	2919	2545	2160	3037	2375	2749
ENSMUSG00000037300.19	5128	4925	4858	4662	3790	5185
ENSMUSG00000037306.13	2832	2301	3010	2936	2054	3189
ENSMUSG00000037307.11	0	1	2	0	0	0
ENSMUSG00000037313.16	15791	9679	13582	18336	9404	17619
ENSMUSG00000037315.15	10805	8413	8010	10950	7586	10696
ENSMUSG00000037316.9	7002	5907	4834	7010	5734	5702
ENSMUSG00000037318.10	0	0	2	0	2	6
ENSMUSG00000037321.17	6618	2346	9380	7330	2239	10635
ENSMUSG00000037325.10	1171	716	1154	1327	673	1401
ENSMUSG00000037326.10	4203	2863	3597	4343	2632	4306
ENSMUSG00000037331.15	28533	22290	24304	30074	23230	29659
ENSMUSG00000037334.2	0	0	0	0	0	0
ENSMUSG00000037335.13	735	1136	707	819	1167	898
ENSMUSG00000037336.14	455	306	412	376	224	422
ENSMUSG00000037337.11	3237	2874	2271	3559	2509	3125
ENSMUSG00000037339.17	5086	3532	4142	4998	3162	4645
ENSMUSG00000037341.14	73	66	140	49	53	79
ENSMUSG00000037343.8	5897	4251	4653	6233	4333	5755
ENSMUSG00000037344.14	2478	1821	2462	2332	1501	2626
ENSMUSG00000037346.4	2	3	1	1	1	0
ENSMUSG00000037347.7	82	79	89	82	119	116
ENSMUSG00000037348.15	413	285	434	655	301	696
ENSMUSG00000037349.9	826	657	485	863	567	634
ENSMUSG00000037351.9	12111	9137	10046	13616	9149	13617
ENSMUSG00000037353.9	1644	946	1570	2035	1009	2092
ENSMUSG00000037355.14	1480	868	1498	1569	895	1758
ENSMUSG00000037358.6	0	0	0	0	0	0
ENSMUSG00000037361.8	6975	5556	5210	7960	5278	7242
ENSMUSG00000037362.8	41	47	24	34	76	39
ENSMUSG00000037363.9	836	297	1016	828	293	1129
ENSMUSG00000037364.12	17466	16060	13993	17937	14278	16176
ENSMUSG00000037366.14	1903	1348	1773	2421	1347	2798
ENSMUSG00000037369.17	6347	4800	5327	6243	4384	6350
ENSMUSG00000037370.13	255	129	168	203	179	224
ENSMUSG00000037373.12	8897	6659	7766	10090	6554	9522
ENSMUSG00000037375.16	528	248	581	485	265	760
ENSMUSG00000037376.14	6824	4814	4623	7329	4472	5545
ENSMUSG00000037379.7	563	141	464	828	179	557
ENSMUSG00000037386.16	2950	1423	3262	2662	1387	3481
ENSMUSG00000037390.12	4	4	1	6	8	1
ENSMUSG00000037393.2	1	0	2	0	0	1
ENSMUSG00000037395.15	1204	842	1141	1125	805	1216
ENSMUSG00000037400.17	17266	18657	14231	14172	14661	14367
ENSMUSG00000037405.8	6496	6365	4115	5949	5138	4939
ENSMUSG00000037406.7	12	9	14	21	12	26
ENSMUSG00000037408.10	1166	1102	909	1048	954	987
ENSMUSG00000037410.13	1748	1191	1354	1861	1252	1901
ENSMUSG00000037411.10	14352	12669	10278	13579	12605	11401
ENSMUSG00000037415.6	3620	2725	3515	3916	2538	4171
ENSMUSG00000037416.13	8227	5660	6014	7550	5176	7030
ENSMUSG00000037418.5	276	196	296	361	158	386
ENSMUSG00000037419.9	5428	1646	6950	5396	1754	6961
ENSMUSG00000037424.6	2	0	0	2	0	1
ENSMUSG00000037426.17	4327	2886	3595	4270	2870	4351
ENSMUSG00000037428.14	1150	711	1151	1920	914	2019
ENSMUSG00000037432.15	2	5	4	0	6	4
ENSMUSG00000037434.7	2872	2493	2348	2495	2404	2776
ENSMUSG00000037437.18	13	22	23	33	24	26
ENSMUSG00000037438.6	2	4	3	7	2	4
ENSMUSG00000037440.8	1613	779	2362	2407	791	4223
ENSMUSG00000037443.13	6167	5071	4110	6640	4711	5512
ENSMUSG00000037446.13	1384	519	1661	1684	591	2357
ENSMUSG00000037447.16	451	312	355	664	363	598
ENSMUSG00000037451.7	17	17	6	23	10	10
ENSMUSG00000037455.16	343	327	281	377	374	418
ENSMUSG00000037458.15	13680	11540	8713	12912	10848	9756
ENSMUSG00000037461.10	8271	6567	6482	7964	6420	7244
ENSMUSG00000037463.14	1420	1155	894	1494	1076	1069
ENSMUSG00000037465.10	8688	7116	6717	8981	6368	8530
ENSMUSG00000037466.13	4573	3852	3763	4822	3476	4225
ENSMUSG00000037469.9	223	247	155	175	226	157
ENSMUSG00000037470.14	18097	14226	16469	15386	11509	16853
ENSMUSG00000037474.13	12114	10006	8389	11353	8933	9455
ENSMUSG00000037475.15	9591	7399	8316	8547	6339	9463
ENSMUSG00000037477.7	4	1	1	2	1	4
ENSMUSG00000037482.2	0	0	1	0	0	0
ENSMUSG00000037486.18	6682	6345	4960	5667	5642	5464
ENSMUSG00000037487.7	29083	28821	21534	25935	27292	24962
ENSMUSG00000037490.5	835	471	1041	830	376	1159
ENSMUSG00000037492.16	126	296	58	135	260	90
ENSMUSG00000037493.6	730	460	765	1069	535	1171
ENSMUSG00000037499.9	3397	2221	3723	3300	1843	3785
ENSMUSG00000037503.12	10790	7232	9460	10969	7397	11327
ENSMUSG00000037509.20	965	615	688	1288	616	936
ENSMUSG00000037514.17	6430	5068	4736	6629	4568	5679
ENSMUSG00000037519.17	6935	5261	5964	7116	5064	6911
ENSMUSG00000037523.13	2130	1629	1519	2267	1545	1953
ENSMUSG00000037525.5	1771	1444	1738	1719	1373	2035
ENSMUSG00000037526.7	2637	2782	1632	2775	2520	2053
ENSMUSG00000037529.13	2	4	1	6	5	0
ENSMUSG00000037531.8	3285	2577	2419	3438	2486	2900
ENSMUSG00000037533.19	3814	2853	2638	3611	2735	3215
ENSMUSG00000037535.5	7	2	2	8	10	4
ENSMUSG00000037536.14	6209	4800	5172	6206	4015	5895
ENSMUSG00000037537.6	0	0	0	0	0	0
ENSMUSG00000037541.21	85	68	82	119	81	115
ENSMUSG00000037542.13	6	2	1	2	1	5
ENSMUSG00000037544.14	17948	11494	14803	18470	10826	16822
ENSMUSG00000037548.14	10	4	2	10	11	6
ENSMUSG00000037552.17	14664	5372	20026	15077	5703	21309
ENSMUSG00000037553.14	10166	7100	10155	8488	5591	9630
ENSMUSG00000037563.15	111775	88058	85462	111981	70665	108259
ENSMUSG00000037568.12	666	419	690	599	513	697
ENSMUSG00000037570.16	10048	8474	7918	10896	8308	9376
ENSMUSG00000037572.17	6717	5610	4757	5775	4629	4841
ENSMUSG00000037573.5	3557	2380	2168	3796	2121	2590
ENSMUSG00000037577.12	206	103	424	171	70	336
ENSMUSG00000037578.4	24	25	24	36	27	50
ENSMUSG00000037579.7	547	664	339	525	585	408
ENSMUSG00000037580.10	727	713	531	787	739	694
ENSMUSG00000037583.2	5	7	4	6	7	6
ENSMUSG00000037593.11	66	39	45	61	36	67
ENSMUSG00000037594.11	721	423	671	980	372	1059
ENSMUSG00000037600.16	2023	1177	1873	2367	1228	2463
ENSMUSG00000037601.11	3828	3126	2827	3894	3108	3742
ENSMUSG00000037603.6	0	0	0	0	0	0
ENSMUSG00000037605.16	24	38	13	29	54	27
ENSMUSG00000037606.18	1496	485	1928	2473	631	2915
ENSMUSG00000037608.16	20799	15921	14798	19110	14809	17088
ENSMUSG00000037610.15	15	2	5	20	3	10
ENSMUSG00000037613.16	283	177	163	306	220	322
ENSMUSG00000037617.12	896	714	761	982	677	888
ENSMUSG00000037621.8	40	31	19	67	68	41
ENSMUSG00000037622.14	6117	5183	4418	7292	5017	6025
ENSMUSG00000037624.15	8	4	27	13	17	17
ENSMUSG00000037625.7	66	18	154	52	22	129
ENSMUSG00000037627.16	186	142	86	203	119	138
ENSMUSG00000037628.10	2253	1092	1998	2675	1001	2750
ENSMUSG00000037636.6	343	285	266	509	327	446
ENSMUSG00000037638.5	975	346	959	1193	445	1401
ENSMUSG00000037640.15	2336	1954	1801	2338	1975	2273
ENSMUSG00000037643.14	22981	15030	19664	24636	13482	24714
ENSMUSG00000037646.10	4142	3010	3520	4000	2957	4094
ENSMUSG00000037649.9	554	411	562	558	379	648
ENSMUSG00000037652.15	2588	1800	2315	2282	1662	2441
ENSMUSG00000037653.7	2	4	0	0	2	3
ENSMUSG00000037656.9	6655	7022	6170	5236	5317	5147
ENSMUSG00000037660.5	6	4	4	10	10	8
ENSMUSG00000037661.14	786	646	483	761	572	557
ENSMUSG00000037664.13	5402	5696	5788	7071	6793	8513
ENSMUSG00000037669.15	3755	2641	3207	4023	2744	4197
ENSMUSG00000037674.15	8174	5927	7052	7613	5348	7851
ENSMUSG00000037679.9	5359	2653	5742	7479	2998	8540
ENSMUSG00000037681.13	1075	980	1137	1066	963	1307
ENSMUSG00000037683.14	2	0	0	4	0	4
ENSMUSG00000037685.15	2090	2199	1543	1406	1688	1374
ENSMUSG00000037686.6	1718	1607	1858	1977	1639	2333
ENSMUSG00000037689.6	0	0	0	0	0	0
ENSMUSG00000037692.14	8396	6038	7350	9672	6214	9395
ENSMUSG00000037697.19	2889	2096	2094	2774	2004	2317
ENSMUSG00000037703.14	472	410	334	493	342	399
ENSMUSG00000037705.13	5	3	5	3	9	11
ENSMUSG00000037706.17	62582	39673	56673	66390	33413	68420
ENSMUSG00000037708.16	11	4	9	19	2	11
ENSMUSG00000037709.13	141	121	95	182	138	188
ENSMUSG00000037710.8	7439	5658	5726	7769	5193	6912
ENSMUSG00000037712.16	14263	9053	11409	15378	8596	12895
ENSMUSG00000037716.15	10	16	20	24	18	20
ENSMUSG00000037720.16	10480	8074	9396	9282	6463	10314
ENSMUSG00000037722.8	6648	6512	4140	7126	5858	5513
ENSMUSG00000037725.8	15002	8483	12756	16718	7976	16667
ENSMUSG00000037727.6	2	3	1	0	0	2
ENSMUSG00000037730.13	3222	2412	2280	3362	2408	2869
ENSMUSG00000037731.5	84	87	50	115	95	78
ENSMUSG00000037735.7	19	13	14	13	18	17
ENSMUSG00000037736.18	2135	976	2101	3136	1097	3797
ENSMUSG00000037737.6	21	17	22	15	31	17
ENSMUSG00000037738.11	53	56	42	53	62	66
ENSMUSG00000037740.8	2260	2074	1806	2628	1813	2529
ENSMUSG00000037742.14	1357143	954013	1013913	1510776	900844	1223582
ENSMUSG00000037747.9	467	411	362	476	377	414
ENSMUSG00000037750.16	2094	1535	1800	2000	1332	1901
ENSMUSG00000037752.4	1993	1721	1286	1978	1455	1497
ENSMUSG00000037754.13	1002	296	1327	930	321	1431
ENSMUSG00000037759.6	2	9	3	13	11	11
ENSMUSG00000037761.16	2624	1807	2091	2889	1698	2663
ENSMUSG00000037762.6	947	1083	593	924	1016	823
ENSMUSG00000037771.11	16	22	17	16	29	12
ENSMUSG00000037772.13	6044	4046	4666	6371	3765	5861
ENSMUSG00000037773.14	3672	2240	3249	3918	2011	3961
ENSMUSG00000037780.3	0	0	0	0	0	1
ENSMUSG00000037784.14	2878	1176	3363	2766	1201	3439
ENSMUSG00000037787.14	4006	2781	3280	4278	2296	4237
ENSMUSG00000037788.14	2555	1055	3447	2564	1165	3598
ENSMUSG00000037790.3	0	0	0	0	0	0
ENSMUSG00000037791.15	6835	5553	5929	6946	4913	6511
ENSMUSG00000037795.14	8737	5818	7988	8476	5406	9597
ENSMUSG00000037797.14	0	0	1	0	0	1
ENSMUSG00000037798.7	59	8	77	88	23	108
ENSMUSG00000037801.13	2	3	4	1	4	1
ENSMUSG00000037805.14	139117	113408	100723	150392	96802	131035
ENSMUSG00000037808.13	6643	5660	5350	6188	4969	6060
ENSMUSG00000037813.13	64	45	64	109	73	134
ENSMUSG00000037815.6	61137	37366	54143	64414	38209	68133
ENSMUSG00000037816.10	1604	1243	1675	1592	1237	1714
ENSMUSG00000037818.16	280	337	197	246	288	242
ENSMUSG00000037820.15	3642	2454	3153	4858	2701	4612
ENSMUSG00000037822.12	3389	1855	3069	3348	1721	3467
ENSMUSG00000037824.6	10261	8876	9941	8501	6964	9321
ENSMUSG00000037826.5	1367	958	1103	1301	922	1096
ENSMUSG00000037827.5	173	146	139	186	129	145
ENSMUSG00000037833.14	58	45	16	71	72	47
ENSMUSG00000037843.6	21	54	22	30	48	33
ENSMUSG00000037845.14	1565	1255	1265	1721	1073	1639
ENSMUSG00000037846.18	2431	1880	1701	2794	1839	2188
ENSMUSG00000037847.13	1661	1391	1282	1733	1206	1499
ENSMUSG00000037849.8	0	0	0	0	0	0
ENSMUSG00000037851.13	21642	18566	15478	20436	17661	17476
ENSMUSG00000037852.8	4731	1854	6306	4018	1776	5508
ENSMUSG00000037855.15	5222	1879	4560	7389	2413	6457
ENSMUSG00000037857.16	11644	8880	8453	11731	8977	11050
ENSMUSG00000037860.15	3934	4022	1625	3198	2925	1496
ENSMUSG00000037868.15	14	11	18	20	15	21
ENSMUSG00000037872.5	6	4	5	0	2	6
ENSMUSG00000037876.17	14480	11630	13776	11892	9879	13847
ENSMUSG00000037884.6	0	0	0	0	0	0
ENSMUSG00000037885.18	4614	2960	3998	4783	3080	4803
ENSMUSG00000037887.11	457	327	584	552	418	682
ENSMUSG00000037890.13	1663	1161	1531	1828	978	1951
ENSMUSG00000037892.13	273	124	337	422	185	579
ENSMUSG00000037894.13	38267	38375	26133	41113	36869	34706
ENSMUSG00000037896.17	5232	3235	4586	5596	3166	5514
ENSMUSG00000037902.18	1681	1049	2377	1837	1129	2521
ENSMUSG00000037904.14	709	693	401	832	642	546
ENSMUSG00000037905.13	10352	8370	8993	9075	7050	8459
ENSMUSG00000037907.16	628	604	761	675	595	656
ENSMUSG00000037910.2	4	5	0	3	2	2
ENSMUSG00000037913.12	3	4	2	6	4	3
ENSMUSG00000037916.13	11645	10446	8318	11823	9435	9905
ENSMUSG00000037921.15	67	101	114	90	186	136
ENSMUSG00000037922.13	0	0	0	0	0	1
ENSMUSG00000037924.6	0	0	0	0	0	0
ENSMUSG00000037926.15	606	518	572	611	565	613
ENSMUSG00000037933.16	3286	2275	3032	3429	2255	3875
ENSMUSG00000037935.16	12029	6929	11399	12457	6409	14207
ENSMUSG00000037936.15	11234	8924	11007	10047	7116	10693
ENSMUSG00000037938.4	4456	2517	3330	5103	2646	4488
ENSMUSG00000037940.17	19	9	16	20	18	36
ENSMUSG00000037942.5	4	5	1	2	5	3
ENSMUSG00000037944.8	51	33	55	120	55	74
ENSMUSG00000037946.11	85	68	97	111	53	120
ENSMUSG00000037949.8	3081	1469	4377	3413	1553	5172
ENSMUSG00000037953.7	0	0	0	0	0	0
ENSMUSG00000037957.14	2679	2211	1926	2706	2059	2331
ENSMUSG00000037958.13	2342	1576	1823	2457	1672	2338
ENSMUSG00000037960.11	1687	1115	1667	1535	1103	1641
ENSMUSG00000037962.7	284	68	347	410	126	561
ENSMUSG00000037965.14	6494	5424	5797	6412	4902	7257
ENSMUSG00000037966.15	3264	3015	2579	3474	2460	3194
ENSMUSG00000037971.10	662	279	753	835	280	1000
ENSMUSG00000037972.7	3188	1979	3021	2940	1883	3062
ENSMUSG00000037973.6	5	1	4	2	3	2
ENSMUSG00000037974.16	4	0	0	2	1	2
ENSMUSG00000037977.6	61	68	76	85	54	65
ENSMUSG00000037979.13	1472	1224	1070	1653	1281	1276
ENSMUSG00000037982.16	11	10	7	12	17	13
ENSMUSG00000037984.9	0	0	0	0	0	0
ENSMUSG00000037989.15	1669	1112	1460	1561	1043	1447
ENSMUSG00000037990.18	84	51	70	121	65	102
ENSMUSG00000037991.9	605	638	361	530	625	406
ENSMUSG00000037992.16	3091	2419	2384	3362	2187	2898
ENSMUSG00000037993.8	4945	3516	4675	5341	3544	5762
ENSMUSG00000037994.14	267	272	249	379	286	432
ENSMUSG00000037995.15	9917	4249	11788	9967	3820	11671
ENSMUSG00000037996.17	1	2	7	6	10	8
ENSMUSG00000037997.12	1445	1241	1231	1531	1055	1587
ENSMUSG00000037999.13	3921	1668	4022	4329	1611	5080
ENSMUSG00000038000.10	2669	2220	2237	2899	2077	2676
ENSMUSG00000038002.8	4752	3255	4112	4495	2861	4622
ENSMUSG00000038005.15	9006	5817	8058	8743	5364	8975
ENSMUSG00000038007.14	2746	2262	2445	2800	2183	3025
ENSMUSG00000038009.7	584	653	532	526	663	653
ENSMUSG00000038010.9	2098	1799	1415	2032	1595	1746
ENSMUSG00000038011.15	410	358	210	508	361	399
ENSMUSG00000038013.14	5147	2991	4484	5392	2843	5273
ENSMUSG00000038014.7	24849	18102	20515	26292	17464	24722
ENSMUSG00000038015.6	0	0	0	0	0	0
ENSMUSG00000038020.5	419	253	393	497	288	558
ENSMUSG00000038022.11	724	334	794	652	370	650
ENSMUSG00000038023.12	4742	3886	4042	4419	3261	4570
ENSMUSG00000038024.17	3488	2404	2977	3385	2166	3704
ENSMUSG00000038025.8	2142	1264	2266	2149	1196	2452
ENSMUSG00000038026.12	9	23	26	41	38	19
ENSMUSG00000038028.9	4741	4125	3131	5394	3568	4131
ENSMUSG00000038034.15	8469	8394	8604	7514	7203	7871
ENSMUSG00000038037.5	365	219	385	454	255	508
ENSMUSG00000038039.13	2322	1648	1963	2090	1499	2252
ENSMUSG00000038042.10	1360	818	1258	1570	900	1731
ENSMUSG00000038044.8	0	0	0	0	1	0
ENSMUSG00000038045.14	488	608	189	528	453	212
ENSMUSG00000038046.4	982	798	696	1029	730	928
ENSMUSG00000038047.18	10673	7954	7898	10493	7517	9171
ENSMUSG00000038048.8	0	0	0	0	0	0
ENSMUSG00000038055.12	608	386	586	670	402	696
ENSMUSG00000038056.15	3965	4095	2547	2712	3280	2289
ENSMUSG00000038057.4	18	4	7	23	7	9
ENSMUSG00000038058.14	1510	1555	958	1129	1172	826
ENSMUSG00000038059.6	560	396	397	728	421	621
ENSMUSG00000038060.15	228	227	179	236	213	207
ENSMUSG00000038064.7	0	0	0	0	0	0
ENSMUSG00000038065.13	810	870	640	716	738	708
ENSMUSG00000038067.2	2	0	1	4	3	6
ENSMUSG00000038068.15	333	196	333	435	188	551
ENSMUSG00000038069.6	2331	1587	1816	2466	1719	2321
ENSMUSG00000038070.15	310	318	185	385	338	359
ENSMUSG00000038071.3	0	0	0	0	1	0
ENSMUSG00000038072.14	2136	1850	2113	2118	1486	2567
ENSMUSG00000038074.16	737	630	607	716	543	764
ENSMUSG00000038077.7	174	68	192	277	101	343
ENSMUSG00000038079.14	3198	2384	2929	3159	2102	3140
ENSMUSG00000038080.17	2519	2013	1797	2299	1743	2083
ENSMUSG00000038084.16	7631	5240	6971	7956	5299	8612
ENSMUSG00000038085.13	365	271	296	397	251	416
ENSMUSG00000038086.4	2473	619	2765	3990	749	3948
ENSMUSG00000038092.6	0	0	0	1	0	0
ENSMUSG00000038094.15	0	0	0	0	0	0
ENSMUSG00000038095.15	16016	13336	11268	17042	13290	14897
ENSMUSG00000038102.15	5369	4106	4364	5680	3946	5623
ENSMUSG00000038112.15	69	158	39	135	225	73
ENSMUSG00000038115.16	4	0	1	10	0	2
ENSMUSG00000038116.16	7900	6356	5523	7142	5681	6526
ENSMUSG00000038119.15	6486	3218	6452	7005	3040	8313
ENSMUSG00000038121.6	3705	2705	3197	3674	2729	3504
ENSMUSG00000038122.9	1600	1085	1483	1737	1051	1724
ENSMUSG00000038126.17	2607	1910	1737	2457	1729	2057
ENSMUSG00000038127.14	12433	8322	14703	11916	7283	15175
ENSMUSG00000038128.6	14	11	21	28	18	36
ENSMUSG00000038132.6	132	112	108	175	156	148
ENSMUSG00000038135.4	117	79	94	157	67	160
ENSMUSG00000038141.11	5846	2876	6324	5677	2611	6783
ENSMUSG00000038143.16	828	524	881	751	617	814
ENSMUSG00000038145.17	1099	743	1138	1135	682	1185
ENSMUSG00000038146.7	35188	16449	51900	28412	13662	41901
ENSMUSG00000038147.13	2	5	10	6	12	6
ENSMUSG00000038148.13	1	0	1	2	2	2
ENSMUSG00000038150.7	4536	2883	4461	4955	2649	5226
ENSMUSG00000038151.13	1476	1022	890	1247	1117	1165
ENSMUSG00000038152.4	102	35	123	154	43	160
ENSMUSG00000038155.10	1978	1810	510	2495	1691	791
ENSMUSG00000038156.16	1037	244	1899	430	238	851
ENSMUSG00000038160.7	4430	3320	3339	4872	3297	4110
ENSMUSG00000038165.8	1	0	0	0	0	0
ENSMUSG00000038167.6	358	200	442	563	237	730
ENSMUSG00000038168.5	178	113	282	145	111	272
ENSMUSG00000038170.15	2302	1644	2420	2773	1656	3219
ENSMUSG00000038172.14	5480	6087	3190	4261	4879	3390
ENSMUSG00000038173.15	1	0	0	0	2	1
ENSMUSG00000038174.14	1871	1526	1575	1876	1429	1956
ENSMUSG00000038175.10	618	533	430	667	480	566
ENSMUSG00000038178.16	3592	2137	4258	3156	1621	4190
ENSMUSG00000038179.13	1	1	0	1	2	1
ENSMUSG00000038180.11	854	446	699	923	424	928
ENSMUSG00000038181.16	3122	1566	3216	3409	1457	3541
ENSMUSG00000038187.14	3742	2821	2575	4015	2879	3294
ENSMUSG00000038188.17	324	165	323	402	195	450
ENSMUSG00000038192.5	0	0	0	1	0	0
ENSMUSG00000038193.4	6	3	0	2	3	4
ENSMUSG00000038195.6	45	29	36	69	35	59
ENSMUSG00000038199.12	42	15	50	58	39	54
ENSMUSG00000038201.10	20	18	37	18	14	37
ENSMUSG00000038203.18	27	20	17	16	15	17
ENSMUSG00000038204.13	34	15	27	38	21	71
ENSMUSG00000038205.12	3017	2091	2605	2912	1839	2834
ENSMUSG00000038206.13	1624	1478	1293	1562	1310	1644
ENSMUSG00000038208.13	951	692	1031	1006	650	1211
ENSMUSG00000038209.12	0	0	0	0	0	0
ENSMUSG00000038210.10	7	4	3	7	4	0
ENSMUSG00000038212.16	10735	9080	9567	9123	7160	10105
ENSMUSG00000038213.7	480	179	761	447	210	704
ENSMUSG00000038214.15	3798	3836	2850	3291	3527	2805
ENSMUSG00000038215.15	4217	3521	3719	4147	3015	4372
ENSMUSG00000038216.7	10	10	3	16	13	12
ENSMUSG00000038217.13	694	459	796	687	483	931
ENSMUSG00000038218.3	0	0	0	0	0	0
ENSMUSG00000038224.12	10	8	12	7	8	10
ENSMUSG00000038225.15	6786	5785	5678	6161	4553	6304
ENSMUSG00000038227.15	12	5	8	15	5	10
ENSMUSG00000038233.9	0	4	1	5	2	0
ENSMUSG00000038235.4	23546	14714	23774	23518	12191	28253
ENSMUSG00000038236.8	30	18	16	54	22	44
ENSMUSG00000038239.11	1099	743	1606	1056	654	1710
ENSMUSG00000038240.13	764	663	662	734	654	751
ENSMUSG00000038241.16	5654	4105	5085	5244	3512	5695
ENSMUSG00000038242.12	17	9	11	41	28	20
ENSMUSG00000038244.13	469	296	331	487	348	359
ENSMUSG00000038246.7	1	6	1	2	6	2
ENSMUSG00000038248.8	30	40	13	45	27	32
ENSMUSG00000038250.9	3750	3189	2855	3982	3045	3739
ENSMUSG00000038252.13	27080	21208	22125	28440	21098	25755
ENSMUSG00000038253.6	22	11	21	18	10	10
ENSMUSG00000038255.6	0	0	0	1	0	0
ENSMUSG00000038256.15	3534	2059	3508	3470	2013	4043
ENSMUSG00000038257.9	0	0	0	0	0	1
ENSMUSG00000038259.4	39	17	17	46	31	23
ENSMUSG00000038260.10	4120	3378	4968	3989	2675	5201
ENSMUSG00000038264.8	293	252	312	372	271	341
ENSMUSG00000038267.15	7185	2267	8884	6688	2045	8649
ENSMUSG00000038268.4	1253	1034	1025	1249	982	1230
ENSMUSG00000038271.17	1507	876	1068	1725	788	1353
ENSMUSG00000038274.12	60016	49572	44567	66313	41578	54712
ENSMUSG00000038276.12	117	75	103	119	48	115
ENSMUSG00000038279.10	12563	10026	8748	13820	10175	11278
ENSMUSG00000038280.12	4803	4149	4193	3944	3422	3980
ENSMUSG00000038286.11	1195	948	1069	1242	890	1229
ENSMUSG00000038290.15	3943	2616	3502	4164	2576	4051
ENSMUSG00000038291.16	1420	1609	991	1058	1341	983
ENSMUSG00000038292.14	977	725	665	1021	636	760
ENSMUSG00000038295.14	3687	1553	3943	4675	1550	5077
ENSMUSG00000038296.14	582	291	748	706	380	955
ENSMUSG00000038298.14	598	702	243	609	791	372
ENSMUSG00000038299.15	12073	10198	8521	13247	10271	10724
ENSMUSG00000038300.6	17	6	14	23	5	26
ENSMUSG00000038301.15	6745	6229	4487	6046	5147	5159
ENSMUSG00000038302.14	1445	922	1244	1538	852	1599
ENSMUSG00000038304.14	10	9	10	4	7	5
ENSMUSG00000038305.15	841	276	1224	806	324	1199
ENSMUSG00000038311.13	519	519	231	354	401	258
ENSMUSG00000038312.10	6965	5302	6876	6619	4276	7256
ENSMUSG00000038319.14	1043	1111	1032	1103	983	1070
ENSMUSG00000038323.3	1406	1294	882	1237	1113	1058
ENSMUSG00000038324.13	9857	5833	10051	11658	6192	12920
ENSMUSG00000038327.8	98	129	147	76	148	104
ENSMUSG00000038330.10	0	0	0	0	0	1
ENSMUSG00000038331.15	576	672	228	574	615	307
ENSMUSG00000038332.13	2327	1394	2190	2131	1225	2470
ENSMUSG00000038335.13	10598	8767	7428	10970	8688	9970
ENSMUSG00000038342.15	4853	3671	4332	4725	3295	5402
ENSMUSG00000038344.14	5070	4989	3418	4923	4964	4127
ENSMUSG00000038346.18	3496	3099	2785	3503	2861	3486
ENSMUSG00000038347.14	474	278	477	499	311	538
ENSMUSG00000038349.10	19	10	11	4	12	20
ENSMUSG00000038351.14	4231	1844	4713	5399	1930	6006
ENSMUSG00000038352.15	247	297	172	279	362	271
ENSMUSG00000038354.13	706	1427	276	613	1107	309
ENSMUSG00000038357.10	1	0	2	1	2	2
