mESC_DMSO_rep1	mESC_DMSO_rep2	mESC_DMSO_rep3	NPC48h_DMSO_2	NPC48h_DMSO_4	NPC48h_DMSO_5
ENSMUSG00000000001.4	13.921635573041	13.6579352048882	14.0084091221073	13.851656624583	13.8237323783701	13.9881431653416
ENSMUSG00000000028.15	11.7624065504095	11.9350338925376	11.6357352511246	10.2983082486666	10.7641657848495	10.1646058812132
ENSMUSG00000000031.16	15.3355565739379	15.2842508878044	15.6180796370206	15.1843166564084	15.1636683790418	13.0853913234668
ENSMUSG00000000037.16	9.13015884863512	8.60215218366957	9.82172502363091	8.93531164039912	8.0988033585684	7.29928748390962
ENSMUSG00000000049.11	0.482616954212868	0.584818217312358	0.164722841785081	0.856361759878534	1.40082694883413	1.23591180544825
ENSMUSG00000000056.7	10.1002440523033	10.450566287557	10.209856467703	13.0856519247313	12.8553330323915	13.6014076274119
ENSMUSG00000000058.6	8.65896253081508	8.37796611186029	9.00266572923482	4.7545608159267	4.82695835919062	3.92340417185024
ENSMUSG00000000078.7	13.6025176711985	13.0489769333337	14.0985661015832	12.8983838366299	13.192913933809	12.8215817252444
ENSMUSG00000000085.16	10.9530920426629	10.9454157836831	10.9615050900889	12.2685958257476	12.2198240876491	12.5811920541209
ENSMUSG00000000088.7	14.1608161584554	14.3678449093086	13.8012587343159	13.1893831813684	13.4210395005744	13.9571315021858
ENSMUSG00000000093.6	5.32448809599666	5.5645573180898	5.72795031919563	10.4582349773483	10.2693057588215	8.80102290265569
ENSMUSG00000000094.12	6.8974209810237	6.32050318398117	6.2007582795704	5.87542590491288	5.52515808610736	4.32398188101441
ENSMUSG00000000103.12	0.746617955852004	1.66134491371168	0.385310413850104	2.48567833576465	1.6189396049642	0.985663903523706
ENSMUSG00000000120.6	7.96351864791886	8.84363205105657	7.77787148743175	11.7903943314687	11.9527735027688	12.6317412104227
ENSMUSG00000000125.5	10.2939835082826	8.82888049853868	11.428701927303	9.35530430735077	9.01852268464255	8.26558109341248
ENSMUSG00000000126.11	11.008774647002	9.8501197617051	11.4388546172331	7.62276203472327	7.75706957773955	7.28743092256461
ENSMUSG00000000127.14	10.5536983426343	10.6170310418258	10.47916401641	11.3595853273975	11.1185366622668	11.1627565218142
ENSMUSG00000000131.15	13.2004232934147	13.2792266191439	13.2320364292393	13.4801714646881	13.4791224655979	13.6040492124056
ENSMUSG00000000134.17	12.7830688011857	12.9957903946598	12.7280218082617	11.9739286715709	12.0642291424863	12.0762988657598
ENSMUSG00000000142.15	9.15795134194218	8.77967448390411	9.70687075857836	12.0257423578328	11.8084163733253	11.6281115155728
ENSMUSG00000000148.17	10.741813688516	10.7772611839638	10.7147499181495	10.9713819293568	10.9119147406511	11.2086119619231
ENSMUSG00000000149.10	12.1872610147384	12.1559596297656	12.2299141141362	13.0720759905746	12.9155880820875	13.2331695104111
ENSMUSG00000000154.16	9.51729439614618	9.5546574653626	9.26217295709511	5.96989132538133	7.05264610925012	6.25629012218889
ENSMUSG00000000157.15	-0.289203514220876	-0.24963955038832	-0.262562038622908	1.37609957994134	0.734756184138063	0.299094576713802
ENSMUSG00000000167.14	7.19514808880021	6.47683685742748	7.66869762347967	7.50035451692062	7.52080945790368	7.80646245943533
ENSMUSG00000000168.9	12.7441068928332	12.6490306050905	12.8127004521767	12.1843562355322	12.1877306656207	12.4160385770757
ENSMUSG00000000171.5	13.5018121550096	13.5297127788019	13.5225530207724	12.8481882054353	12.8523802815328	12.9531844051193
ENSMUSG00000000182.9	3.75183181864879	3.57375082922009	3.77917540493189	3.00590870836113	3.51270886963342	2.95110207405531
ENSMUSG00000000184.12	9.9499872791013	9.13058131450932	9.65029533563112	13.9487876492448	14.3787604117257	13.6564685275415
ENSMUSG00000000194.13	13.162475267866	12.9625048460434	13.4021029145598	12.820685581884	12.8858332149241	12.8744997722177
ENSMUSG00000000197.8	5.39237189009591	6.28438106159402	5.24899525898579	10.6000593643105	9.87485198084663	9.93875357984163
ENSMUSG00000000202.9	6.41526623346938	6.75508007648571	6.92180965565895	10.869319903984	11.1009383981292	11.8520187466463
ENSMUSG00000000204.16	2.28857261662158	2.67312566978743	2.12723424408495	3.22869427384213	3.04288874028588	1.0033906638365
ENSMUSG00000000214.11	2.01169593661156	3.29336083480951	2.23179898825275	6.43488091939298	6.64385770612907	6.37261065669643
ENSMUSG00000000215.11	1.31432966694575	0.818464527410904	1.26033001224276	1.07690552339821	0.796971333546576	1.44561592559686
ENSMUSG00000000216.8	3.03065418080032	2.58794522493789	2.37806398810682	1.31428761985752	2.53683545452821	1.461418801951
ENSMUSG00000000223.13	6.29949027579512	6.69391055907274	6.54034979638229	10.6447243115728	9.94668791608689	10.0459375137873
ENSMUSG00000000244.17	5.24933889347323	5.90275654299737	4.21218763210311	2.93671919635067	3.2089845756732	3.04566283477372
ENSMUSG00000000247.11	5.20390034484005	5.3954445616374	5.43148836495308	6.15561219600039	6.5632535657067	6.62209864140306
ENSMUSG00000000253.13	9.47421276278421	9.37989480170888	9.32202348714217	9.26871288597267	8.79037332898371	8.64252242026581
ENSMUSG00000000263.15	0.878345720844949	1.17021405200078	1.07875244954656	9.09187638343627	8.33626896499026	9.22843013551466
ENSMUSG00000000266.11	8.27208381191693	7.60086019608859	9.09344239918227	10.7502621238288	10.3009995430449	10.7410186927149
ENSMUSG00000000275.16	12.2392369312092	12.741038500796	12.0489680513225	10.9425931831733	11.3456422096082	9.38221508257873
ENSMUSG00000000276.11	11.5938431211831	11.9572644798842	11.3636567763275	12.5339036375846	12.1554588668276	12.2917990797236
ENSMUSG00000000278.10	14.6200387769701	14.6429036378194	14.7241150625856	11.8637432760482	12.3146810508088	11.1280145715865
ENSMUSG00000000282.12	11.4686677674361	11.6671634557081	11.6195149726241	12.6961421338546	12.4868585846319	12.8665528000494
ENSMUSG00000000290.13	6.51548432138234	5.20123970759812	6.80407256668502	2.61037936962887	4.62839784287689	2.91056520454767
ENSMUSG00000000295.13	10.5435008814689	10.8827624349499	10.2958566121345	10.2769289645902	10.0576793412405	9.75542206555254
ENSMUSG00000000296.8	9.77097484639923	9.8907655688541	9.62410040159674	9.27612480665749	8.09501782435987	7.07092919297561
ENSMUSG00000000301.16	8.20960847785638	8.45424189553986	7.91667687969773	7.36208047700149	7.62280034729622	6.97579602267499
ENSMUSG00000000303.12	16.0671643311456	15.914635304168	16.4866196718013	12.3721581582308	13.2064626752621	10.8145694683012
ENSMUSG00000000305.12	7.93816773167671	8.49986381572681	8.05618867110528	13.1050050170189	12.2788587025465	12.4741498743405
ENSMUSG00000000308.14	10.5667431938321	10.4444302806076	10.6065292971036	10.1638063124449	9.82076981523555	9.984972192246
ENSMUSG00000000317.11	7.87433153796183	8.83653227221542	7.82443253503059	7.79275914481151	7.71923389430521	7.02474773638174
ENSMUSG00000000320.10	6.92254526110922	6.61440242206227	7.03527814219321	3.79684252145573	3.00652800079172	3.51286104410566
ENSMUSG00000000325.16	12.4369814004062	12.2459387362138	12.4800154875482	13.5327308462726	13.5167151176721	14.1079526945117
ENSMUSG00000000326.13	10.9525377204171	10.7977925509503	11.2063936021071	10.8654891438729	11.0670815742489	10.9632021431521
ENSMUSG00000000339.14	11.7849839636086	11.5990678996283	11.7744001498465	12.1777750517265	12.0444721525403	12.4550810694147
ENSMUSG00000000340.10	11.4006379103264	11.6409383907617	11.223742107222	11.0311926943668	10.8835501328324	10.6729821505184
ENSMUSG00000000346.9	12.6311967383128	12.6290383890368	12.5408086543945	13.0866057892953	13.0862290474769	13.451150966358
ENSMUSG00000000355.13	11.7428996150952	11.5766637336259	11.8175326260142	12.3260702341508	12.0108583818539	12.4814767875624
ENSMUSG00000000359.3	5.72840890993075	5.37858078499281	6.16374890968037	3.97194955900437	3.35628308993362	1.39088978608862
ENSMUSG00000000365.9	12.3303525363923	12.4412712103217	11.6415730142784	10.2438156485488	9.35443156921304	7.80073965071607
ENSMUSG00000000374.8	11.4916435819904	11.5259930490765	11.4195618147238	13.1316456681325	12.8322491447692	13.1740288109314
ENSMUSG00000000378.15	11.485221911978	11.3426877063506	11.5843310819883	11.9781363750909	11.9944715278846	12.2485632601051
ENSMUSG00000000384.15	12.6037019634066	12.7386854994123	12.5006674155876	12.1379838974413	12.0835619648653	11.9566644110402
ENSMUSG00000000385.8	10.1913437206828	10.0865397764791	11.3566200822195	9.18497742993973	11.6842305258908	7.41627122411097
ENSMUSG00000000386.15	2.60906106839247	2.8714251965862	2.10037373122628	1.76404272607345	1.49749443707925	0.814220647877709
ENSMUSG00000000392.17	4.72548740447922	3.47575167996112	4.36713077033786	8.02247620606279	8.77475553707089	8.31486695822144
