	mESC_DMSO_rep1	mESC_DMSO_rep2	mESC_DMSO_rep3	2_NPC_DMSO	4_NPC_DMSO	5_NPC_DMSO
ENSMUSG00000000617.14	4	20	22	4	11	2
ENSMUSG00000000627.15	700	635	463	1644	1213	1269
ENSMUSG00000000628.10	13800	14489	10648	2490	4496	1453
ENSMUSG00000000631.20	9612	7212	9692	15506	13887	13731
ENSMUSG00000000632.13	269	454	168	16594	11073	11642
ENSMUSG00000000673.8	40	20	28	3	4	3
ENSMUSG00000000682.7	11	25	13	1	4	0
ENSMUSG00000000686.11	23	35	29	91	117	85
ENSMUSG00000000690.5	13	10	7	13614	11118	20086
ENSMUSG00000000693.10	969	422	844	641	641	265
ENSMUSG00000000701.8	0	0	0	0	0	0
ENSMUSG00000000706.16	15	10	31	21	71	4
ENSMUSG00000000708.14	2061	2316	1465	2628	2496	1951
ENSMUSG00000000711.3	7759	5541	7302	8846	7648	7406
ENSMUSG00000000724.10	7	16	1	9	12	9
ENSMUSG00000000730.13	22080	27258	8238	3491	1696	568
ENSMUSG00000000731.15	4390	10012	1355	242	214	55
ENSMUSG00000000732.9	4010	4153	3237	583	479	131
ENSMUSG00000000738.18	8741	8291	9211	5581	7479	4776
ENSMUSG00000000739.14	240	151	172	23	9	6
ENSMUSG00000000740.12	139187	109086	105892	28670	35120	21743
ENSMUSG00000000743.9	9015	6905	7912	9969	9730	7570
ENSMUSG00000000751.13	13641	12133	9220	7818	7279	4103
ENSMUSG00000000753.15	1354	620	893	1539	1066	347
ENSMUSG00000000759.14	4804	4151	4109	6351	7571	4661
ENSMUSG00000000766.18	1	0	1	39	23	14
ENSMUSG00000000776.13	4603	3061	3616	2447	2582	1824
ENSMUSG00000000782.15	9623	6080	7564	886	949	288
ENSMUSG00000000787.12	54468	41624	42364	65576	58688	47785
ENSMUSG00000000791.9	213	137	249	9	16	2
ENSMUSG00000000792.2	2872	2074	4456	101	358	173
ENSMUSG00000000794.9	147	78	190	1073	886	174
ENSMUSG00000000804.14	5696	4286	4690	12595	10279	9152
ENSMUSG00000000805.18	56471	17740	72325	683	3946	408
ENSMUSG00000000811.13	707	730	409	1116	1057	1106
ENSMUSG00000000817.10	7	1	2	46	40	37
ENSMUSG00000000823.16	3398	3054	3235	17242	14873	12955
ENSMUSG00000000826.16	9798	6732	8960	28892	21683	24091
ENSMUSG00000000827.18	13908	9733	11795	5630	5633	4273
ENSMUSG00000000838.17	11808	9837	8966	10404	9756	7436
ENSMUSG00000000861.15	58	36	57	31888	17080	16618
ENSMUSG00000000869.12	0	1	0	2	0	0
ENSMUSG00000000876.11	1119	811	912	938	973	635
ENSMUSG00000000881.12	4656	3013	4373	7911	7408	7938
ENSMUSG00000000884.17	1444	898	1053	555	441	418
ENSMUSG00000000889.8	0	0	0	1	2	4
ENSMUSG00000000901.17	4056	3870	3911	2126	2031	1049
ENSMUSG00000000902.13	12769	8887	10356	12424	11639	11247
ENSMUSG00000000903.3	20	35	9	5	2	0
ENSMUSG00000000915.15	4705	3896	4657	3697	3461	2591
ENSMUSG00000000916.15	2003	1880	1507	1734	1771	1290
ENSMUSG00000000934.9	988	729	706	633	721	452
ENSMUSG00000000938.11	3	4	1	28	41	2
ENSMUSG00000000942.10	9	7	3	2186	1201	3253
ENSMUSG00000000948.16	3585	3297	3940	2975	2158	1653
ENSMUSG00000000957.11	9061	4162	11977	3283	3772	884
ENSMUSG00000000958.10	2999	4928	3408	833	1086	160
ENSMUSG00000000959.7	9328	6744	8207	4802	4739	3758
ENSMUSG00000000976.13	3657	2528	3150	4774	4588	4104
ENSMUSG00000000982.5	3	0	4	0	0	0
ENSMUSG00000000983.13	0	0	0	0	0	0
ENSMUSG00000001014.6	145	169	100	6	23	6
ENSMUSG00000001016.12	26500	19411	18901	23584	22720	22164
ENSMUSG00000001017.15	21176	15842	16096	22955	19817	19439
ENSMUSG00000001018.15	6447	4247	5321	3372	3577	2718
ENSMUSG00000001020.8	15	10	6	1	2	0
ENSMUSG00000001021.12	65	32	107	0	2	0
ENSMUSG00000001023.10	0	3	2	0	7	0
ENSMUSG00000001025.8	13349	7190	14435	451	2276	379
ENSMUSG00000001027.7	12	5	10	9	13	6
ENSMUSG00000001029.15	0	2	0	9	9	12
ENSMUSG00000001034.17	5369	3569	5236	6416	6088	4974
ENSMUSG00000001036.17	7940	5021	7945	6638	5231	4363
ENSMUSG00000001039.12	1980	1305	1779	1171	982	817
ENSMUSG00000001052.15	6541	4161	6188	7956	7840	7108
ENSMUSG00000001053.15	3131	3281	1847	417	445	178
ENSMUSG00000001054.9	2693	2727	1859	3153	2491	2401
ENSMUSG00000001056.3	16131	14598	10754	3456	3407	1868
ENSMUSG00000001062.18	1214	1061	1185	5239	5279	4488
ENSMUSG00000001065.15	1531	1147	1417	3046	3712	2507
ENSMUSG00000001076.7	75	106	46	39	158	154
ENSMUSG00000001082.12	10314	7528	10366	2169	2243	1003
ENSMUSG00000001089.14	11675	7375	9458	5458	6030	4419
ENSMUSG00000001095.5	3	4	2	6	2	5
ENSMUSG00000001098.15	13970	6133	15282	8458	8767	7546
ENSMUSG00000001100.10	8104	6569	5697	8655	7472	7410
ENSMUSG00000001103.7	1	0	0	0	1	0
ENSMUSG00000001105.15	2488	1922	1981	2997	2640	2172
ENSMUSG00000001119.7	1999	674	1721	12756	5118	2181
ENSMUSG00000001120.15	2034	1683	1714	2303	2400	2537
ENSMUSG00000001123.15	716	767	599	678	5503	755
ENSMUSG00000001127.12	10824	7468	10458	12611	11153	10705
ENSMUSG00000001128.7	698	588	592	1130	1367	1177
ENSMUSG00000001131.11	2658	2593	1789	313	327	90
ENSMUSG00000001134.9	2226	1925	1528	814	839	631
ENSMUSG00000001138.13	5935	3922	6109	3605	3352	2660
ENSMUSG00000001143.13	3907	2546	3606	5477	4967	4071
ENSMUSG00000001150.7	9372	6466	6695	9624	8253	7457
ENSMUSG00000001151.10	8936	7832	6670	4115	4463	3047
ENSMUSG00000001155.13	13	7	3	4	2	0
ENSMUSG00000001156.9	635	505	484	4012	3493	4745
ENSMUSG00000001157.13	3771	3154	2809	4096	4002	4100
ENSMUSG00000001158.13	5995	3929	4388	2962	2897	2578
ENSMUSG00000001166.17	349	351	323	111	238	87
ENSMUSG00000001168.16	10	7	1	0	1	0
